jmdict_id,kanji,reading,waller_level,freq_rank,freq_level,audit_level,reason
1465580,入る,いる,1,34,5,5,Same JMdict entry as はいる — one of the most basic verbs
1598820,留める,とどめる,1,135,5,2,"Literary/formal ""to stop; to hold back"" — common in writing but not beginner"
1430610,直ぐ,すぐ,1,234,5,4,"Extremely common adverb ""immediately"" taught early"
1451180,動き,うごき,1,238,5,3,Noun form of 動く (N4) — natural N3 nominalization
1480210,反応,はんのう,1,242,5,3,"Common word ""reaction"" — heard in daily life"
1242170,近づく,ちかづく,1,263,5,3,Compound of 近い (N5) — straightforward N3
1437260,的,てき,1,284,5,3,Extremely common suffix -的 used in everyday speech
1588410,生む,うむ,1,325,5,3,"Basic verb ""to give birth; to produce"""
1522370,本気,ほんき,1,336,5,3,"Very common ""serious/for real"" — used colloquially"
1387280,先に,さきに,1,369,5,4,"Basic adverb ""ahead; beforehand"" — early intermediate"
1333330,襲う,おそう,1,387,5,2,"Common verb ""to attack"" but not beginner vocab"
1354600,丈,たけ,1,435,5,2,Height/stature — somewhat literary but common in fiction
1156990,易い,やすい,1,507,5,4,"Very common suffix -やすい ""easy to do"" taught early"
1565120,呟く,つぶやく,1,522,5,2,To mutter/murmur — common in novels but N2 vocabulary
1232920,距離,きょり,1,551,5,2,Distance — standard N2
1310720,死,し,1,561,5,3,Death as standalone noun — common concept
1285990,告げる,つげる,1,577,5,2,To tell/announce — literary register, N2
1317970,自信,じしん,1,580,5,3,Self-confidence — common in daily conversation
1211310,耐える,たえる,1,620,5,2,To endure — standard N2 verb
1329670,受け入れる,うけいれる,1,625,5,2,To accept — compound verb, N2
1349370,床,とこ,1,647,5,2,"とこ reading is literary ""bed/alcove"" — distinct from ゆか (floor)"
1005340,,さん,1,656,5,5,Basic honorific suffix taught day one
1297800,作戦,さくせん,1,664,5,2,Strategy/tactics — N2
1390420,戦闘,せんとう,1,685,5,2,Combat/battle — thematic N2
1611610,間違う,まちがう,1,720,5,4,To make a mistake — very basic verb
1445670,怒り,いかり,1,729,5,2,Anger (noun) — N2
1326940,取り戻す,とりもどす,1,730,5,2,To take back/recover — compound verb, N2
1269510,後悔,こうかい,1,757,5,2,Regret — N2
1518080,訪れる,おとずれる,1,761,5,2,To visit (literary) — N2
1166180,一部,いちぶ,1,769,5,3,One part; partially — common
1543130,予想,よそう,1,775,5,3,Expectation/prediction — common
1238380,興奮,こうふん,1,776,5,2,Excitement — N2
1309800,指示,しじ,1,784,5,2,Instruction/direction — N2
1252310,警戒,けいかい,1,791,5,2,Vigilance/caution — N2
1483185,彼方,あちら,5,6007,1,5,"Polite ""over there"" — standard N5 demonstrative"
1335000,１０日,とおか,5,6071,1,5,Calendar day — standard N5
1268570,５日,いつか,5,6093,1,5,Calendar day — standard N5
1524730,毎晩,まいばん,5,6126,1,5,Every evening — basic time word
1307320,４日,よっか,5,6266,1,5,Calendar day — standard N5
1203650,外国人,がいこくじん,5,6326,1,5,Foreigner — basic N5 compound
1138860,,ラジオ,5,6331,1,5,Radio — basic loanword
1213170,漢字,かんじ,5,6389,1,5,Kanji — taught in first Japanese class
1289470,今晩,こんばん,5,6391,1,5,Tonight — basic greeting word
1342540,始め,はじめ,5,6587,1,5,Beginning — basic N5
1002330,お祖母さん,おばあさん,5,6605,1,5,Grandmother — basic family term
